s,A(s) (GHz),B(s) (GHz),C(normalized)
0.092,9.541633330113012,0.6612251803766769,0.092
0.093,9.521239766882122,0.6626258947480548,0.093
0.094,9.500786417173446,0.6640439129683801,0.094
0.095,9.48033306746477,0.6654619311887052,0.095
0.096,9.459879717756092,0.6668799494090305,0.096
0.097,9.439346546627883,0.6683215105638077,0.097
0.098,9.418801487415868,0.6697665780503368,0.098
0.099,9.398256428203853,0.6712116455368657,0.099
0.1,9.3776643798132,0.6726708356301296,0.1
0.101,9.35702855721198,0.6741431820708538,0.101
0.102,9.336392734610756,0.6756155285115778,0.102
0.103,9.315741787726909,0.6770925071004081,0.103
0.104,9.295014330036304,0.678592918826359,0.104
0.105,9.2742868723457,0.6800933305523099,0.105
0.106,9.253559414655095,0.6815937422782608,0.106
0.107,9.232758242504646,0.6831171614439651,0.107
0.108,9.211940046744578,0.6846458939453907,0.108
0.109,9.19112185098451,0.6861746264468163,0.109
0.11,9.170251403761501,0.687719977287324,0.11
0.111,9.149344251906447,0.6892770018683722,0.111
0.112,9.128437100051393,0.6908340264494202,0.112
0.113,9.107492372202955,0.6924032279381002,0.113
0.114,9.08649631394351,0.6939890636024135,0.114
0.115,9.065500255684066,0.6955748992667269,0.115
0.116,9.044481065061285,0.6971683742434015,0.116
0.117,9.023395314645677,0.6987838301582401,0.117
0.118,9.00230956423007,0.7003992860730788,0.118
0.119,8.981215598127553,0.7020175068057496,0.119
0.12,8.960041668389321,0.7036626376298639,0.12
0.121,8.938867738651089,0.7053077684539782,0.121
0.122,8.917686184614812,0.7069555136540923,0.122
0.123,8.896425994452803,0.7086302232250451,0.123
0.124,8.875165804290793,0.7103049327959978,0.124
0.125,8.853896253921326,0.7119829124163717,0.125
0.126,8.832549456604514,0.7136878787607615,0.126
0.127,8.811202659287703,0.7153928451051513,0.127
0.128,8.789844707488854,0.7171017825972088,0.128
0.129,8.768410606341254,0.7188378302955182,0.129
0.13,8.746976505193656,0.7205738779938274,0.13
0.131,8.72552974274731,0.7223145190276562,0.131
0.132,8.704009776595983,0.724081717303756,0.132
0.133,8.682489810444656,0.7258489155798559,0.133
0.134,8.660943752821284,0.7276257584880369,0.134
0.135,8.639339879802517,0.7294239726786161,0.135
0.136,8.61773600678375,0.7312221868691954,0.136
0.137,8.596089591621237,0.7330364222716548,0.137
0.138,8.574401669233302,0.7348662891396315,0.138
0.139,8.552713746845367,0.7366961560076082,0.139
0.14,8.530966448978921,0.7385488083979196,0.14
0.141,8.509193868436506,0.7404111630928264,0.141
0.142,8.48742128789409,0.7422735177877333,0.142
0.143,8.465573495232336,0.7441652858672895,0.143
0.144,8.4437170245345,0.7460604476873162,0.144
0.145,8.421845690296811,0.7479615323369698,0.145
0.146,8.399907412058644,0.7498892928601569,0.146
0.147,8.377969133820475,0.751817053383344,0.147
0.148,8.355986237378982,0.7537629277644743,0.148
0.149,8.333966900427113,0.7557235960677957,0.149
0.15,8.311947563475245,0.7576842643711171,0.15
0.151,8.289853239052347,0.7596759504129577,0.151
0.152,8.26775232276865,0.761670363105154,0.152
0.153,8.24562776721375,0.7636747412020336,0.153
0.154,8.223444756111212,0.7657037619024488,0.154
0.155,8.201261745008674,0.7677327826028639,0.155
0.156,8.179026124217067,0.7697844036630762,0.156
0.157,8.156763001480835,0.7718478391600327,0.157
0.158,8.134485571779127,0.7739175367660788,0.158
0.159,8.112144545029965,0.7760150705788733,0.159
0.16,8.089803518280803,0.778112604391668,0.16
0.161,8.067406067083594,0.7802352973493013,0.161
0.162,8.044986879292539,0.7823676824551411,0.162
0.163,8.02254724635403,0.784509356702096,0.163
0.164,8.00004946907114,0.7866774485144525,0.164
0.165,7.977551691788251,0.7888455403268091,0.165
0.166,7.95499090339529,0.7910428110593837,0.166
0.167,7.932414204620893,0.7932474495045733,0.167
0.168,7.909811297593724,0.7954644553892055,0.168
0.169,7.887158012824733,0.797705234078406,0.169
0.17,7.864500992684822,0.7999478086789013,0.17
0.171,7.841773411248249,0.8022243081110627,0.171
0.172,7.819045829811676,0.8045008075432241,0.172
0.173,7.7962616445998325,0.8068050292549932,0.173
0.174,7.773459422068179,0.8091180849291746,0.174
0.175,7.750622228775561,0.8114485921043056,0.175
0.176,7.727745028554122,0.8137990639852948,0.176
0.177,7.704854688580486,0.8161562189010669,0.177
0.178,7.681902182499263,0.8185449922410776,0.178
0.179,7.65894967641804,0.8209337655810882,0.179
0.18,7.635932004092833,0.8233563183190749,0.18
0.181,7.61290565981797,0.8257833662254309,0.181
0.182,7.589829150957742,0.828236912004251,0.182
0.183,7.566731003172928,0.830701887867857,0.183
0.184,7.543593715796827,0.833187928369613,0.184
0.185,7.5204240362287385,0.8356914021091895,0.185
0.186,7.497225951264387,0.8382104546725085,0.186
0.187,7.473984484762097,0.8407532996633984,0.187
0.188,7.450725426722297,0.8433059790746454,0.188
0.189,7.427411927825522,0.8458890932487313,0.189
0.19,7.404091767752062,0.8484760039819731,0.19
0.191,7.380706445378528,0.8511000541784977,0.191
0.192,7.3573211230049935,0.8537241043750222,0.192
0.193,7.33386875083412,0.8563871067540986,0.193
0.194,7.310414137586095,0.8590514110736694,0.194
0.195,7.286893736410664,0.8617546622700802,0.195
0.196,7.263371950521633,0.8644587332258622,0.196
0.197,7.2397834178980185,0.8672030644839824,0.197
0.198,7.216194094936367,0.8699478746739481,0.198
0.199,7.192537456472427,0.8727340652730271,0.199
0.2,7.168879832073639,0.875520873711645,0.2
0.201,7.145155534554,0.8783494630959143,0.201
0.202,7.121429459943239,0.8811791879710064,0.202
0.203,7.097637594704388,0.8840509504509682,0.203
0.204,7.073842363660994,0.8869249053288468,0.204
0.205,7.049985269374993,0.8898391563209254,0.205
0.206,7.026115078373943,0.8927621020392401,0.206
0.207,7.002194884015983,0.8957182442879533,0.207
0.208,6.978251719527848,0.898689926236126,0.208
0.209,6.9542683352792025,0.9016888175638671,0.209
0.21,6.930252085140417,0.9047103722067822,0.21
0.211,6.906205432098411,0.9077528917642312,0.211
0.212,6.882116000511933,0.9108254872668166,0.212
0.213,6.8580060111981265,0.9139125361148072,0.213
0.214,6.833843319573902,0.9170373732998152,0.214
0.215,6.809669938460639,0.9201698750067596,0.215
0.216,6.7854352245594765,0.9233472261668397,0.216
0.217,6.761186592507757,0.9265349433057373,0.217
0.218,6.736891325527668,0.9297574311017095,0.218
0.219,6.712565872367148,0.9330028615507411,0.219
0.22,6.6882118917919,0.9362699739273772,0.22
0.221,6.663810435697873,0.9395738699794927,0.221
0.222,6.639391692984996,0.9428912517852558,0.222
0.223,6.61492028583323,0.9462502409720247,0.223
0.224,6.590425556745441,0.9496280235863535,0.224
0.225,6.565895460448687,0.9530343060250116,0.225
0.226,6.541324785743811,0.9564739502544036,0.226
0.227,6.516736033093262,0.959928457379318,0.227
0.228,6.492090581520677,0.9634305260434781,0.228
0.229,6.467425283991177,0.9669495625431976,0.229
0.23,6.442723941483815,0.9704994408516348,0.23
0.231,6.417980815975771,0.9740857770190322,0.231
0.232,6.393214533263732,0.9776925106599293,0.232
0.233,6.368405628072696,0.9813371688822967,0.233
0.234,6.343562513734065,0.9850128753320241,0.234
0.235,6.318696301666108,0.9887096125545171,0.235
0.236,6.293780173646325,0.992452574247825,0.236
0.237,6.268837391003489,0.9962207285156645,0.237
0.238,6.24386781000425,1.000014211207382,0.238
0.239,6.218848673491914,1.0038555120538246,0.239
0.24,6.193807259077715,1.0077186808153584,0.24
0.241,6.1687329202057635,1.0116142799765606,0.241
0.242,6.143614684041485,1.0155540034561823,0.242
0.243,6.118469131945416,1.0195216333474642,0.243
0.244,6.093296330190615,1.023517226047529,0.244
0.245,6.068076156587124,1.0275623846295885,0.245
0.246,6.042827967961432,1.03163746114049,0.246
0.247,6.017552725927795,1.0357415835622652,0.247
0.248,5.992236423795036,1.0398904745719046,0.248
0.249,5.966886354255462,1.0440769669071461,0.249
0.25,5.941509461602449,1.048293636164671,0.25
0.251,5.916097774298494,1.052549888885805,0.251
0.252,5.890647301159524,1.0568512254758247,0.252
0.253,5.865169418862167,1.0611849107784659,0.253
0.254,5.839661665409995,1.0655541856803457,0.254
0.255,5.814115330048798,1.0699702480251092,0.255
0.256,5.788535248767196,1.0744281038003554,0.256
0.257,5.762926269797852,1.078922270778565,0.257
0.258,5.737288473106013,1.083453049699952,0.258
0.259,5.711613428165662,1.0880319917738865,0.259
0.26,5.685904478512677,1.0926557526889402,0.26
0.261,5.660167136454634,1.0973176425508269,0.261
0.262,5.634401495258176,1.1020179791207203,0.262
0.263,5.608600012713909,1.1067678900055573,0.263
0.264,5.582765055755807,1.1115651795632793,0.264
0.265,5.556902130181754,1.1164027197660833,0.265
0.266,5.531008963267997,1.1212844330761942,0.266
0.267,5.505086309243248,1.1262099387728488,0.267
0.268,5.479130507014561,1.1311856328462273,0.268
0.269,5.4531417338275645,1.1362123916442446,0.269
0.27,5.427124094545723,1.1412847629798315,0.27
0.271,5.401077768315242,1.1464032503514912,0.271
0.272,5.375002938761869,1.1515683624891853,0.272
0.273,5.348899794036481,1.1567806133852958,0.273
0.274,5.3227631462024165,1.1620499151878652,0.274
0.275,5.296596704347492,1.1673712275699983,0.275
0.276,5.270403031350094,1.1727410446525999,0.276
0.277,5.24418187945735,1.1781607239496708,0.277
0.278,5.217932129082392,1.1836333894505926,0.278
0.279,5.191654579181466,1.1891586991130567,0.279
0.28,5.165349495358097,1.1947372954937052,0.28
0.281,5.139017150672017,1.2003698292534635,0.281
0.282,5.112656320909839,1.206060089111918,0.282
0.283,5.086267306304416,1.2118089691033171,0.283
0.284,5.059851976624191,1.2176139668385135,0.284
0.285,5.03341063976826,1.2234757699480712,0.285
0.286,5.006943611859442,1.2293950745799698,0.286
0.287,4.980451217384005,1.235372585468453,0.287
0.288,4.9539340012396025,1.241408499864649,0.288
0.289,4.927391916607626,1.2475044601315934,0.289
0.29,4.900824793258924,1.2536625730167694,0.29
0.291,4.874233459415545,1.259882506685135,0.291
0.292,4.847618297880608,1.2661650374105997,0.292
0.293,4.820979701458442,1.2725109511515935,0.293
0.294,4.794318073127818,1.2789210436161327,0.294
0.295,4.76763382621782,1.2853961203236315,0.295
0.296,4.740927384585028,1.2919369966642666,0.296
0.297,4.714199182792988,1.2985444979551644,0.297
0.298,4.687449666292191,1.3052194594928117,0.298
0.299,4.660679291603687,1.3119627266024854,0.299
0.3,4.633888640122286,1.318774749896386,0.3
0.301,4.607078017121945,1.3256569820771615,0.301
0.302,4.580247770428152,1.3326108671842467,0.302
0.303,4.553398748181902,1.3396360205715154,0.303
0.304,4.526531454387643,1.3467333197478626,0.304
0.305,4.499646404767091,1.353903652058072,0.305
0.306,4.472744126940106,1.3611479146998005,0.306
0.307,4.4458251606059225,1.3684670147351117,0.307
0.308,4.418889682835083,1.375863719708863,0.308
0.309,4.391937834885507,1.383341407374725,0.309
0.31,4.364971078446947,1.3908968516403664,0.31
0.311,4.337990006033667,1.3985310010439487,0.311
0.312,4.310995265970145,1.4062445470591514,0.312
0.313,4.2839875965530965,1.4140376179797314,0.313
0.314,4.256967494732923,1.4219119358079293,0.314
0.315,4.229935799032452,1.4298670207583675,0.315
0.316,4.202891797674049,1.437914477348359,0.316
0.317,4.175837446973729,1.44604613489019,0.317
0.318,4.14877357079844,1.4542616501513657,0.318
0.319,4.121700832607311,1.4625619916495474,0.319
0.32,4.094619908952646,1.470948136346349,0.32
0.321,4.067530514982282,1.4794336672861992,0.321
0.322,4.040434499494307,1.4880073573795825,0.322
0.323,4.013332594405259,1.496670087707912,0.323
0.324,3.986225534895702,1.5054228707973365,0.324
0.325,3.9591139651081693,1.514269527598398,0.325
0.326,3.9319984773504215,1.5232183033345434,0.326
0.327,3.9048803778338113,1.5322574516912968,0.327
0.328,3.8777603614110654,1.5413912545094461,0.328
0.329,3.8506391911417843,1.5506323883717537,0.329
0.33,3.823517896287414,1.5599671211420836,0.33
0.331,3.7963972809095963,1.5693981783792608,0.331
0.332,3.7692785272155347,1.5789420461454953,0.332
0.333,3.742162282985912,1.588582806705689,0.333
0.334,3.71504937109238,1.5983215110768323,0.334
0.335,3.687941606327473,1.6081786970287208,0.335
0.336,3.660839136380091,1.618136130400626,0.336
0.337,3.6337428353240804,1.6281948799905384,0.337
0.338,3.606654983916522,1.6383743584591388,0.338
0.339,3.5795750018478034,1.6486534957729388,0.339
0.34,3.552505624957376,1.6590534656298324,0.34
0.341,3.5254464421644283,1.6695590452298203,0.341
0.342,3.4983996590326183,1.6801823650086385,0.342
0.343,3.47136582654412,1.690919388679716,0.343
0.344,3.4443460318990526,1.701770819143294,0.344
0.345,3.4173422587385534,1.712744317604924,0.345
0.346,3.390353993689982,1.7238286423740803,0.346
0.347,3.3633851486347317,1.7350436668098201,0.347
0.348,3.336433544284795,1.746368346178356,0.348
0.349,3.309504037932512,1.7578262927465733,0.349
0.35,3.282594432287055,1.769398323377627,0.35
0.351,3.255709372821678,1.78110451412296,0.351
0.352,3.2288474560363145,1.7929312758287235,0.352
0.353,3.202011087820339,1.8048858324596593,0.353
0.354,3.17520230114697,1.816972381071087,0.354
0.355,3.148419800599314,1.8291800789391777,0.355
0.356,3.121669735162654,1.8415313834842926,0.356
0.357,3.094948679566086,1.8540062635290266,0.357
0.358,3.068260837060326,1.8666179565229897,0.358
0.359,3.041607073011444,1.8793649820449374,0.359
0.36,3.0149869962707054,1.89224167677843,0.36
0.361,2.988406218877509,1.9052646216118567,0.361
0.362,2.9618624428781133,1.9184208719207256,0.362
0.363,2.93535739897369,1.9317127714838438,0.363
0.364,2.9088963015509886,1.9451538906839756,0.364
0.365,2.8824774184383597,1.958734052600647,0.365
0.366,2.856101882176639,1.972453237430659,0.366
0.367,2.8297728817271612,1.9863177148084914,0.367
0.368,2.8034932516477125,2.0003320244528267,0.368
0.369,2.7772617502005112,2.014488595752477,0.369
0.37,2.75107988384062,2.028788394918373,0.37
0.371,2.7249535383368513,2.0432443043020703,0.371
0.372,2.6988810961595338,2.0578478888712164,0.372
0.373,2.672863268129311,2.0725976862227484,0.373
0.374,2.646903276050134,2.0874987843172312,0.374
0.375,2.6210035693644715,2.1025538998908337,0.375
0.376,2.595166441327191,2.1177651319408355,0.376
0.377,2.569392069502161,2.1331293753362823,0.377
0.378,2.543682202817814,2.148647477766177,0.378
0.379,2.5180386041823084,2.1643202580444822,0.379
0.38,2.49246305003083,2.180148504829159,0.38
0.381,2.466957329850852,2.196132975328814,0.381
0.382,2.4415262170531937,2.2122807531124655,0.382
0.383,2.416169088919223,2.228587006308887,0.383
0.384,2.3908874199868038,2.245051611433424,0.384
0.385,2.365682756486027,2.2616745938424514,0.385
0.386,2.340558109076674,2.278458857731937,0.386
0.387,2.315515053503465,2.2954042802969123,0.387
0.388,2.2905554972712334,2.312511362691858,0.388
0.389,2.2656813564116742,2.3297805616021234,0.389
0.39,2.2408945547177295,2.347212287814941,0.39
0.391,2.216197022952589,2.364806904797708,0.391
0.392,2.1915906980311157,2.3825647272913413,0.392
0.393,2.1670775221720753,2.4004860199186706,0.393
0.394,2.1426594420227216,2.4185709958118093,0.394
0.395,2.118338407760121,2.4368198152632505,0.395
0.396,2.094116372160344,2.4552325844014655,0.396
0.397,2.069995369520731,2.473809481316281,0.397
0.398,2.0459781067071674,2.4925516654880133,0.398
0.399,2.022065645989295,2.51145763328051,0.399
0.4,1.998259935665776,2.5305272605101794,0.4
0.401,1.9745629215913931,2.5497603629913845,0.401
0.402,1.9509765461060948,2.5691566954535503,0.402
0.403,1.9275027469444495,2.5887159505084227,0.403
0.404,1.9041434561218722,2.608437757672006,0.404
0.405,1.8809005988010241,2.628321682444494,0.405
0.406,1.8577760921401267,2.648367225452003,0.406
0.407,1.834771844121112,2.6685738216544483,0.407
0.408,1.8118897523632598,2.6889408396207632,0.408
0.409,1.7891315481580254,2.7094673850424758,0.409
0.41,1.7665006532190533,2.7301546173903053,0.41
0.411,1.7439987864436228,2.751001437289529,0.411
0.412,1.7216262054658464,2.7720049663003694,0.412
0.413,1.6993847211242596,2.793164238238198,0.413
0.414,1.6772761267207517,2.8144782189608506,0.414
0.415,1.6553021967874846,2.835945806230998,0.415
0.416,1.633464685850295,2.857565829667091,0.416
0.417,1.6117666270814117,2.879338443588576,0.417
0.418,1.590211416507642,2.901264028786489,0.418
0.419,1.568797850568948,2.9233380486627016,0.419
0.42,1.547527589244778,2.9455590562644463,0.42
0.421,1.5264021776727088,2.9679254508997683,0.421
0.422,1.505423082527642,2.9904355241042433,0.422
0.423,1.484591817359492,3.013087582840289,0.423
0.424,1.4639135191377948,3.035883229639587,0.424
0.425,1.4433880522259888,3.0588190121365875,0.425
0.426,1.4230149883837884,3.0818913166547035,0.426
0.427,1.4027957665367734,3.1050982507961877,0.427
0.428,1.3827317912826849,3.128437862100398,0.428
0.429,1.3628244317941438,3.1519081392997936,0.429
0.43,1.3430801766853386,3.1755111112675585,0.43
0.431,1.3234959633764796,3.1992409851167043,0.431
0.432,1.304072332964631,3.223094997757849,0.432
0.433,1.2848105048538367,3.247070916946673,0.433
0.434,1.2657116807882804,3.271166475543842,0.434
0.435,1.2467773623375127,3.295379592506354,0.435
0.436,1.2280139276479978,3.3197114448049834,0.436
0.437,1.2094168328199906,3.344155616298511,0.437
0.438,1.190987075018517,3.3687096292261685,0.438
0.439,1.1727256063371003,3.3933709651115658,0.439
0.44,1.1546333330621912,3.418137066987112,0.44
0.441,1.1367121651464094,3.443005953071838,0.441
0.442,1.1189670430723744,3.467977276759044,0.442
0.443,1.1013936021117776,3.4930453059423274,0.443
0.444,1.0839925541990447,3.518207350615846,0.444
0.445,1.0667645963865726,3.5434607119069303,0.445
0.446,1.0497107216084203,3.5688028353144174,0.446
0.447,1.0328313611907172,3.5942308767582323,0.447
0.448,1.0161318144499347,3.6197442355756997,0.448
0.449,0.9996084488583881,3.64533806136647,0.449
0.45,0.9832610809686706,3.6710092473285973,0.45
0.451,0.9670900693498942,3.696754957781572,0.451
0.452,0.9510957210193786,3.722572349392469,0.452
0.453,0.9352782913517028,3.7484585738683887,0.453
0.454,0.9196379840434998,3.7744107806396237,0.454
0.455,0.9041782918446457,3.800427255299708,0.455
0.456,0.8888980012104122,3.826504571674896,0.456
0.457,0.8737952188450935,3.8526391959947515,0.457
0.458,0.8588699226933407,3.878828286401666,0.458
0.459,0.8441222604272014,3.9050690760994966,0.459
0.46,0.8295523690899685,3.931358809538553,0.46
0.461,0.8151600879812866,3.9576946717359736,0.461
0.462,0.8009452055738945,3.984073866478611,0.462
0.463,0.7869074599624686,4.010493618724812,0.463
0.464,0.7730465393591686,4.03695117694077,0.464
0.465,0.7593620826395105,4.063443815367384,0.465
0.466,0.7458544753816003,4.089968970721706,0.466
0.467,0.7325246179395195,4.1165241522274725,0.467
0.468,0.719369832976616,4.14310632812516,0.468
0.469,0.7063896408044495,4.169712907752033,0.469
0.47,0.6935829261408786,4.196341266283086,0.47
0.471,0.6809493021807635,4.222988921919094,0.471
0.472,0.6684884723634318,4.2496534284177905,0.472
0.473,0.6561997014913968,4.2763323315112975,0.473
0.474,0.644082211616131,4.303023219770863,0.474
0.475,0.6321351829926242,4.329723726012681,0.475
0.476,0.6203577550596293,4.356431528605039,0.476
0.477,0.6087490274515405,4.383144352675063,0.477
0.478,0.597308061034797,4.409859971215354,0.478
0.479,0.5860338789658509,4.436576206091378,0.479
0.48,0.5749254677746043,4.463290928950194,0.48
0.481,0.5639818265996851,4.490002060214884,0.481
0.482,0.5532008512950253,4.516707620593623,0.482
0.483,0.5425821922055615,4.54340562740777,0.483
0.484,0.5321279606507436,4.570093930603595,0.484
0.485,0.5218335255811332,4.596770836309271,0.485
0.486,0.5116976851506855,4.623434543117942,0.486
0.487,0.5017192093539966,4.650083302273654,0.487
0.488,0.49189684117678373,4.676715417818917,0.488
0.489,0.48222929774986945,4.703329246661789,0.489
0.49,0.4727152715037009,4.729923198562683,0.49
0.491,0.4633534313248869,4.756495736046685,0.491
0.492,0.4541424237089608,4.783045374239944,0.492
0.493,0.4450808975427907,4.8095706764454835,0.493
0.494,0.43616983493105943,4.836069824569328,0.494
0.495,0.4274076794375399,4.862541432734452,0.495
0.496,0.4187894377099048,4.888984886547269,0.496
0.497,0.41031369963883607,4.915398996804199,0.497
0.498,0.40197904054711675,4.941782621515164,0.498
0.499,0.3937852696119805,4.9681343697467835,0.499
0.5,0.38573628637749663,4.994451823276396,0.5
0.501,0.3778238379601311,5.02073552072132,0.501
0.502,0.3700464490378606,5.046984513033294,0.502
0.503,0.3624026348305128,5.073197895068629,0.503
0.504,0.35489090201209295,5.099374804861726,0.504
0.505,0.34751582279736193,5.1255126219097615,0.505
0.506,0.3402717964565909,5.15161163552426,0.506
0.507,0.3331533765515206,5.177672291505018,0.507
0.508,0.32615885684768015,5.203694018660283,0.508
0.509,0.31929668865950206,5.229672892561856,0.509
0.51,0.31255701740029757,5.2556109166980765,0.51
0.511,0.30593657399159296,5.281508144706842,0.511
0.512,0.2994369243175605,5.307362984905774,0.512
0.513,0.293061631590796,5.333173010507168,0.513
0.514,0.2868008805386441,5.3589407213353,0.514
0.515,0.2806532258396749,5.384665715012975,0.515
0.516,0.2746245588768794,5.4103447091365275,0.516
0.517,0.2687091201242802,5.435978890753051,0.517
0.518,0.2629019634202719,5.461569310217635,0.518
0.519,0.25720520527601687,5.487114195844273,0.519
0.52,0.2516198436512432,5.512612131541182,0.52
0.521,0.24613618490353534,5.5380663617343275,0.521
0.522,0.24076109409042712,5.563473039055656,0.522
0.523,0.23549008725964476,5.5888331997697644,0.523
0.524,0.23031638197520496,5.6141491064599025,0.524
0.525,0.22524886732579483,5.639415821144423,0.525
0.526,0.2202784156062659,5.66463671923553,0.526
0.527,0.21540092937311506,5.689813030195776,0.527
0.528,0.21062711182929747,5.714938725569428,0.528
0.529,0.2059436370104062,5.740019527857343,0.529
0.53,0.20135140951752953,5.7650542984867075,0.53
0.531,0.19685567582720165,5.790039549477491,0.531
0.532,0.19244302884132175,5.814981499397687,0.532
0.533,0.18812643001991633,5.839872596077084,0.533
0.534,0.18389154273333655,5.864719729534993,0.534
0.535,0.17974500796337603,5.889518638111735,0.535
0.536,0.1756820363789002,5.914271208281765,0.536
0.537,0.1717000657886183,5.938978230928856,0.537
0.538,0.1678032698774426,5.963636615552122,0.538
0.539,0.16398046233888958,5.988252164141591,0.539
0.54,0.16024421076533757,6.012816852922833,0.54
0.541,0.1565793241697961,6.037338988870302,0.541
0.542,0.15299453448651948,6.061812718833288,0.542
0.543,0.14948096667780833,6.086242779725702,0.543
0.544,0.14604371498628635,6.110625421572952,0.544
0.545,0.14267550077791732,6.134964555398451,0.545
0.546,0.13938123857331408,6.159256463105924,0.546
0.547,0.13615327238613587,6.18350543873909,0.547
0.548,0.1329969290891976,6.207707421382555,0.548
0.549,0.12990421958820406,6.231867072943842,0.549
0.55,0.1268808454104128,6.255979997734983,0.55
0.551,0.12391852199246423,6.280051213127355,0.551
0.552,0.12102328938634703,6.304075997155827,0.552
0.553,0.11818660341677319,6.3280597101736475,0.553
0.554,0.11541510758237107,6.351997096971123,0.554
0.555,0.1126982810087233,6.375895119334349,0.555
0.556,0.11004655339494142,6.3997456449784735,0.556
